frame.time,ip.src,ip.dst,tcp.srcport,tcp.dstport,udp.srcport,udp.dstport,frame.protocols,frame.len,Source_File
2021-08-17T01:58:26.095206000+0530,88.221.0.167,10.10.0.33,443,53461,,,eth:ethertype:ip:tcp,1514,traffic_segment_1.csv
2021-08-17T01:58:26.095209000+0530,88.221.0.167,10.10.0.33,443,53461,,,eth:ethertype:ip:tcp,1514,traffic_segment_1.csv
2021-08-17T01:58:26.095211000+0530,88.221.0.167,10.10.0.33,443,53461,,,eth:ethertype:ip:tcp:tls,1514,traffic_segment_1.csv
2021-08-17T01:58:26.095431000+0530,10.10.0.33,88.221.0.167,53461,443,,,eth:ethertype:ip:tcp,60,traffic_segment_1.csv
2021-08-17T01:58:26.095626000+0530,10.10.0.33,88.221.0.167,53461,443,,,eth:ethertype:ip:tcp,60,traffic_segment_1.csv
2021-08-17T01:58:26.096091000+0530,88.221.0.167,10.10.0.33,443,53461,,,eth:ethertype:ip:tcp,1514,traffic_segment_1.csv
2021-08-17T01:58:26.096226000+0530,10.10.0.33,88.221.0.167,53461,443,,,eth:ethertype:ip:tcp,60,traffic_segment_1.csv
2021-08-17T01:58:26.096304000+0530,10.10.0.33,88.221.0.167,53461,443,,,eth:ethertype:ip:tcp,60,traffic_segment_1.csv
2021-08-17T01:58:26.102632000+0530,88.221.0.167,10.10.0.33,443,53461,,,eth:ethertype:ip:tcp,1514,traffic_segment_1.csv
2021-08-17T01:58:26.102638000+0530,88.221.0.167,10.10.0.33,443,53461,,,eth:ethertype:ip:tcp,1514,traffic_segment_1.csv
2021-08-17T01:58:26.102639000+0530,88.221.0.167,10.10.0.33,443,53461,,,eth:ethertype:ip:tcp,1514,traffic_segment_1.csv
2021-08-17T01:58:26.102829000+0530,10.10.0.33,88.221.0.167,53461,443,,,eth:ethertype:ip:tcp,60,traffic_segment_1.csv
2021-08-17T01:58:26.102950000+0530,88.221.0.167,10.10.0.33,443,53461,,,eth:ethertype:ip:tcp,1514,traffic_segment_1.csv
2021-08-17T01:58:26.103018000+0530,10.10.0.33,88.221.0.167,53461,443,,,eth:ethertype:ip:tcp,60,traffic_segment_1.csv
2021-08-17T01:58:26.103170000+0530,10.10.0.33,88.221.0.167,53461,443,,,eth:ethertype:ip:tcp,60,traffic_segment_1.csv
2021-08-17T01:58:26.103277000+0530,88.221.0.167,10.10.0.33,443,53461,,,eth:ethertype:ip:tcp,1514,traffic_segment_1.csv
2021-08-17T01:58:26.103279000+0530,88.221.0.167,10.10.0.33,443,53461,,,eth:ethertype:ip:tcp,1514,traffic_segment_1.csv
2021-08-17T01:58:26.103281000+0530,88.221.0.167,10.10.0.33,443,53461,,,eth:ethertype:ip:tcp,1514,traffic_segment_1.csv
2021-08-17T01:58:26.103328000+0530,10.10.0.33,88.221.0.167,53461,443,,,eth:ethertype:ip:tcp,60,traffic_segment_1.csv
2021-08-17T01:58:26.103805000+0530,10.10.0.33,88.221.0.167,53461,443,,,eth:ethertype:ip:tcp,60,traffic_segment_1.csv
2021-08-17T01:58:26.103848000+0530,10.10.0.33,88.221.0.167,53461,443,,,eth:ethertype:ip:tcp,60,traffic_segment_1.csv
2021-08-17T01:58:26.103885000+0530,10.10.0.33,88.221.0.167,53461,443,,,eth:ethertype:ip:tcp,60,traffic_segment_1.csv
2021-08-17T01:58:26.104117000+0530,88.221.0.167,10.10.0.33,443,53461,,,eth:ethertype:ip:tcp,1514,traffic_segment_1.csv
2021-08-17T01:58:26.104290000+0530,10.10.0.33,88.221.0.167,53461,443,,,eth:ethertype:ip:tcp,60,traffic_segment_1.csv
2021-08-17T01:58:26.104441000+0530,88.221.0.167,10.10.0.33,443,53461,,,eth:ethertype:ip:tcp,1514,traffic_segment_1.csv
2021-08-17T01:58:26.104444000+0530,88.221.0.167,10.10.0.33,443,53461,,,eth:ethertype:ip:tcp:tls,1514,traffic_segment_1.csv
2021-08-17T01:58:26.104445000+0530,88.221.0.167,10.10.0.33,443,53461,,,eth:ethertype:ip:tcp,1514,traffic_segment_1.csv
2021-08-17T01:58:26.104598000+0530,10.10.0.33,88.221.0.167,53461,443,,,eth:ethertype:ip:tcp,60,traffic_segment_1.csv
2021-08-17T01:58:26.104774000+0530,10.10.0.33,88.221.0.167,53461,443,,,eth:ethertype:ip:tcp,60,traffic_segment_1.csv
2021-08-17T01:58:26.104903000+0530,10.10.0.33,88.221.0.167,53461,443,,,eth:ethertype:ip:tcp,60,traffic_segment_1.csv
2021-08-17T01:58:26.105374000+0530,88.221.0.167,10.10.0.33,443,53461,,,eth:ethertype:ip:tcp:tls,1514,traffic_segment_1.csv
2021-08-17T01:58:26.105379000+0530,88.221.0.167,10.10.0.33,443,53461,,,eth:ethertype:ip:tcp,1514,traffic_segment_1.csv
2021-08-17T01:58:26.105380000+0530,88.221.0.167,10.10.0.33,443,53461,,,eth:ethertype:ip:tcp:tls,1514,traffic_segment_1.csv
2021-08-17T01:58:26.105636000+0530,10.10.0.33,88.221.0.167,53461,443,,,eth:ethertype:ip:tcp,60,traffic_segment_1.csv
