frame.time,ip.src,ip.dst,tcp.srcport,tcp.dstport,udp.srcport,udp.dstport,frame.protocols,frame.len
2021-08-17T01:59:07.130186000+0530,18.184.26.60,10.10.0.33,80,53480,,,eth:ethertype:ip:tcp,1514
2021-08-17T01:59:07.130187000+0530,18.184.26.60,10.10.0.33,80,53480,,,eth:ethertype:ip:tcp,1514
2021-08-17T01:59:07.130188000+0530,18.184.26.60,10.10.0.33,80,53480,,,eth:ethertype:ip:tcp,1514
2021-08-17T01:59:07.130189000+0530,18.184.26.60,10.10.0.33,80,53480,,,eth:ethertype:ip:tcp,1514
2021-08-17T01:59:07.130211000+0530,18.184.26.60,10.10.0.33,80,53480,,,eth:ethertype:ip:tcp,1514
2021-08-17T01:59:07.130212000+0530,18.184.26.60,10.10.0.33,80,53480,,,eth:ethertype:ip:tcp,1514
2021-08-17T01:59:07.130214000+0530,18.184.26.60,10.10.0.33,80,53480,,,eth:ethertype:ip:tcp,1514
2021-08-17T01:59:07.130215000+0530,18.184.26.60,10.10.0.33,80,53480,,,eth:ethertype:ip:tcp,1514
2021-08-17T01:59:07.130216000+0530,18.184.26.60,10.10.0.33,80,53480,,,eth:ethertype:ip:tcp,1514
2021-08-17T01:59:07.130217000+0530,18.184.26.60,10.10.0.33,80,53480,,,eth:ethertype:ip:tcp,1514
2021-08-17T01:59:07.130218000+0530,18.184.26.60,10.10.0.33,80,53480,,,eth:ethertype:ip:tcp,1514
2021-08-17T01:59:07.130220000+0530,18.184.26.60,10.10.0.33,80,53480,,,eth:ethertype:ip:tcp,1514
2021-08-17T01:59:07.130221000+0530,18.184.26.60,10.10.0.33,80,53480,,,eth:ethertype:ip:tcp,1514
2021-08-17T01:59:07.130222000+0530,18.184.26.60,10.10.0.33,80,53480,,,eth:ethertype:ip:tcp,1514
2021-08-17T01:59:07.130223000+0530,18.184.26.60,10.10.0.33,80,53480,,,eth:ethertype:ip:tcp,1514
2021-08-17T01:59:07.130225000+0530,18.184.26.60,10.10.0.33,80,53480,,,eth:ethertype:ip:tcp,1514
2021-08-17T01:59:07.130229000+0530,18.184.26.60,10.10.0.33,80,53480,,,eth:ethertype:ip:tcp,1514
2021-08-17T01:59:07.143263000+0530,10.10.0.33,18.184.26.60,53480,80,,,eth:ethertype:ip:tcp,60
2021-08-17T01:59:07.143299000+0530,10.10.0.33,18.184.26.60,53480,80,,,eth:ethertype:ip:tcp,60
2021-08-17T01:59:07.143326000+0530,10.10.0.33,18.184.26.60,53480,80,,,eth:ethertype:ip:tcp,60
2021-08-17T01:59:07.143351000+0530,10.10.0.33,18.184.26.60,53480,80,,,eth:ethertype:ip:tcp,60
2021-08-17T01:59:07.143488000+0530,10.10.0.33,18.184.26.60,53480,80,,,eth:ethertype:ip:tcp,60
2021-08-17T01:59:07.143529000+0530,10.10.0.33,18.184.26.60,53480,80,,,eth:ethertype:ip:tcp,60
2021-08-17T01:59:07.143558000+0530,10.10.0.33,18.184.26.60,53480,80,,,eth:ethertype:ip:tcp,60
2021-08-17T01:59:07.143584000+0530,10.10.0.33,18.184.26.60,53480,80,,,eth:ethertype:ip:tcp,60
2021-08-17T01:59:07.143702000+0530,10.10.0.33,18.184.26.60,53480,80,,,eth:ethertype:ip:tcp,60
2021-08-17T01:59:07.143731000+0530,10.10.0.33,18.184.26.60,53480,80,,,eth:ethertype:ip:tcp,60
2021-08-17T01:59:07.143758000+0530,10.10.0.33,18.184.26.60,53480,80,,,eth:ethertype:ip:tcp,60
2021-08-17T01:59:07.143784000+0530,10.10.0.33,18.184.26.60,53480,80,,,eth:ethertype:ip:tcp,60
2021-08-17T01:59:07.143914000+0530,10.10.0.33,18.184.26.60,53480,80,,,eth:ethertype:ip:tcp,60
2021-08-17T01:59:07.143942000+0530,10.10.0.33,18.184.26.60,53480,80,,,eth:ethertype:ip:tcp,60
2021-08-17T01:59:07.143969000+0530,10.10.0.33,18.184.26.60,53480,80,,,eth:ethertype:ip:tcp,60
2021-08-17T01:59:07.144031000+0530,10.10.0.33,18.184.26.60,53480,80,,,eth:ethertype:ip:tcp,60
2021-08-17T01:59:07.144246000+0530,10.10.0.33,18.184.26.60,53480,80,,,eth:ethertype:ip:tcp,60
2021-08-17T01:59:07.144276000+0530,10.10.0.33,18.184.26.60,53480,80,,,eth:ethertype:ip:tcp,60
2021-08-17T01:59:07.144303000+0530,10.10.0.33,18.184.26.60,53480,80,,,eth:ethertype:ip:tcp,60
